lang,kind,number,gender,case,v1,v2,change
sk,cardinal,1,masculine,accusative,jedného,jeden,masc. accusative: inanimate by default (animacy= gives the old form)
sk,cardinal,3,masculine,accusative,troch,tri,masc. accusative: inanimate by default (animacy= gives the old form)
sk,cardinal,4,masculine,accusative,štyroch,štyri,masc. accusative: inanimate by default (animacy= gives the old form)
sk,cardinal,21,masculine,genitive,dvadsiatehojedného,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,masculine,dative,dvadsiatemujednému,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,masculine,accusative,dvadsaťjedného,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,masculine,instrumental,dvadsiatymjedným,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,masculine,locative,dvadsiatomjednom,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,feminine,nominative,dvadsaťjedna,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,feminine,genitive,dvadsiatehojednej,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,feminine,dative,dvadsiatemujednej,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,feminine,accusative,dvadsaťjednu,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,feminine,instrumental,dvadsiatymjednou,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,feminine,locative,dvadsiatomjednej,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,neuter,nominative,dvadsaťjedno,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,neuter,genitive,dvadsiatehojedného,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,neuter,dative,dvadsiatemujednému,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
